Code,Product Name,Unit,Current Stock,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
10026675,MADHURI REFIND OIL 5Ltr,PCS,1,0,690,461.75,550,HINDUSTAN UNILEVER LTD,,,8908002028997
10006535,MADHURI SOYA 1L,PACK,1,0,130,0,92,MADHURI REFINERS PVT LTD,,,8908002028034
10027193,MADHURI SOYABEAN OIL 15 LTR,PCS,2,0,2150,1400,1500,HINDUSTAN UNILEVER LTD,,,8908002028102
10026750,MADHURIGROUNDNUT 1LTR,PCS,3,0,195,155,165,HINDUSTAN UNILEVER LTD,,,8908002028225
10028954,MADRASI NAMKEEN 100GM,PCS,-10,0,30,16,20,HINDUSTAN UNILEVER LTD,,,NAMKN16
10026380,MADRASI NAMKEEN 500g,PCS,4,0,0,50,55,GENERAL,,,NAMKN50
10027853,MADRASI NAMKEEN 500g,PCS,-90,0,65,44,55,HINDUSTAN UNILEVER LTD,,,NAMKN44
10028053,MADRASI NAMKEEN 500GM,PCS,2,0,80,52,60,HINDUSTAN UNILEVER LTD,,,KUNDAN52
10028633,MAGG,PCS,3,0,25,11,15,HINDUSTAN UNILEVER LTD,,,MAG11
10018279,MAGGI 2min 6PACK,PACK,91,0,68,0,65,GENERAL,,,8901058851328
10027247,MAGGI 32G,PCS,242,0,5,4.67,5,HINDUSTAN UNILEVER LTD,,,8901058870183
10028223,MAGGI CHATPATA TOMATO 60.5G,'PCS,4,0,15,13.77,14.5,HINDUSTAN UNILEVER LTD,,,8901058868739
10019525,MAGGI CUPPA CHILLY,PACK,-5,0,45,0,44,GENERAL,,,8901058845617
10019526,MAGGI CUPPA MASALA,PACK,851289,0,45,0,44,GENERAL,,,8901058844757
10028222,MAGGI DESI CHEESY 60.5G,PCS,2,0,15,13.77,15,HINDUSTAN UNILEVER LTD,,,8901058875324
10028373,MAGGI FUSIAN 85g,PCS,9,0,20,18,20,HINDUSTAN UNILEVER LTD,,,8901058869279
10023598,MAGGI HOT & SWEET 90gm,PACK,4,0,20,0,20,NESTLE,,,8901058131086
10025551,MAGGI MASALA 12u,PACK,11,0,55,0,55,NESTLE,,,8901058869187
10027637,MAGGI MASALA 6G,PCS,866,0,5,4.45,5,HINDUSTAN UNILEVER LTD,,,8901058868845
10024658,MAGGI MASALA MAGIC 78gm,PACK,-9,0,5,0,5,NESTLE,,,8901058865707
10028647,MAGGI MASALA OATS NOODLES 72.5G,PCS,12,0,25,22.02,24,HINDUSTAN UNILEVER LTD,,,8901058866742
