code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10006424,Funfoods Peanut butter crunchy 340g,PACK,6,0,169,0,160,RUPAREL FOODS PVT. LTD,8906002001163
10006427,Funfoods Pizza Topping 325g,PACK,7,0,89,0,85,RUPAREL FOODS PVT. LTD,8906002000111
10014974,Funfoods Sandwich Spread C&C 275gm 85/-,PACK,3,0,79,0,75,DR.OETKER,8906002000050
10011019,Funfoods Sandwich Spread C&C 300gm 85/-,PACK,2,0,79,0,75,RUPAREL FOODS PVT. LTD,8906002000463
10011020,Funfoods Sandwich Spread C&S 275gm 85/-,PACK,1,0,79,0,75,RUPAREL FOODS PVT. LTD,8906002000074
10018383,funfoods sandwich thousand island,PACK,-1,0,79,0,75,GENERAL,8906002000104
10011016,Funfoods Tartare Dip 225gm 69/-,PACK,2,0,69,0,65,RUPAREL FOODS PVT. LTD,8906002000456
10020077,Funfoods topping pizza 100gm,PACK,9,0,35,0,34,GENERAL,8906002005284
10022001,Funfoods veg mayo burger,PACK,8,0,35,0,34,GENERAL,8906002000081
10020558,Funfoods VEGMAYONNAIS 875,PACK,8,0,159,0,150,DR.OETKER,8906002004461
10023764,FUNTOP CHILLI SAUNCE 650ML,PACK,2,0,60,0,45,AROMA FOODS,8906028790188
10023641,FUNTOP Red Chili Sauce 630G,PACK,9,0,60,0,45,AROMA DE FRANCE,8906028790195
10023642,FUNTOP SOYA SAUCE 750G,PACK,7,0,60,0,45,AROMA DE FRANCE,8906028790201
10028000,FUSE,\PCS,29,0,20,18.5,20,HINDUSTAN UNILEVER LTD,7622201444945
10027683,FUSE 24 UNITS,PCS,1,0,480,428.57,450,HINDUSTAN UNILEVER LTD,8901233031729
10027558,FUSE 50G,PCS,4,0,35,31.24,34,HINDUSTAN UNILEVER LTD,8901233031736
10027835,FUSE 50G,PCS,19,0,35,31.25,34,HINDUSTAN UNILEVER LTD,7622201134006
10027707,FUSILLI 500GM,PCS,2,0,150,68.18,95,HINDUSTAN UNILEVER LTD,8906057021840
10028313,FUSILLI 500GM,PCS,6,0,149,55,80,HINDUSTAN UNILEVER LTD,8907065104174
10002751,FW ALL IN 1 100GM/-,PACK,2,0,250,205,230,NIVEA,4005808919574
10026900,G-PET LOOFAH,PCS,2,0,125,60,80,HINDUSTAN UNILEVER LTD,8901809007189
10009465,GAIA GREEN TEA 25TEA B,PACK,1,0,190,0,100,COSMIC NUTRACOS SOLUTIONS PVT. LTD,8908000097100
10026280,GAIA GREEN TEA ASSORTED 25PCS,PCS,8,79.8,190,79.8,100,GAIA,8908000097841
10026279,GAIA GREEN TEA CARDAMOM,PCS,7,79.8,190,79.8,100,GAIA,8908000097964
10026278,GAIA GREEN TEA MINT,PCS,8,79.8,190,79.8,100,NILONs,8908000097469
